Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,pica-pau-de-cabeça-amarela - Celeus flavescens,1,São Paulo--Praça Pôr do Sol,BR-SP,12 Nov 2022,L10971805,S122277458
2,tucano-de-bico-verde - Ramphastos dicolorus,3,Universidade de São Paulo--Praça do Relógio,BR-SP,11 Nov 2022,L8121084,S122239640
3,suiriri-cavaleiro - Machetornis rixosa,1,Universidade de São Paulo--Praça do Relógio,BR-SP,11 Nov 2022,L8121084,S122239640
4,chupim - Molothrus bonariensis,5,Universidade de São Paulo--Praça do Relógio,BR-SP,11 Nov 2022,L8121084,S122239640
5,juriti-pupu - Leptotila verreauxi,,Sítio do Engenho,BR-SP,10 Nov 2022,L21434561,S122165037
6,andorinhão-do-temporal - Chaetura meridionalis,1,Sítio do Engenho,BR-SP,10 Nov 2022,L21434561,S122165037
7,sabiá-poca - Turdus amaurochalinus,,Sítio do Engenho,BR-SP,09 Nov 2022,L21434561,S122139958
8,pintassilgo - Spinus magellanicus,1,Sítio do Engenho,BR-SP,09 Nov 2022,L21434561,S122139958
9,jacuguaçu - Penelope obscura,2,Sítio do Engenho,BR-SP,09 Nov 2022,L21434561,S122115800
10,pitiguari - Cyclarhis gujanensis,,Sítio do Engenho,BR-SP,06 Nov 2022,L21434561,S121959603
11,sabiá-do-campo - Mimus saturninus,1,Sítio do Engenho,BR-SP,06 Nov 2022,L21434561,S121959603
12,pica-pau-verde-barrado - Colaptes melanochloros,1,Sítio do Engenho,BR-SP,05 Nov 2022,L21434561,S122018582
13,sovi - Ictinia plumbea,1,Sítio do Engenho,BR-SP,05 Nov 2022,L21434561,S121891899
14,tucanuçu - Ramphastos toco,1,Pesqueiro Megalodon,BR-SP,05 Nov 2022,L21448117,S121886433
15,galinha-d'água - Gallinula galeata,1,Sítio do Engenho,BR-SP,05 Nov 2022,L21434561,S121873909
16,canário-da-terra - Sicalis flaveola,1,Sítio do Engenho,BR-SP,05 Nov 2022,L21434561,S121873909
17,bem-te-vi-rajado - Myiodynastes maculatus,2,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121848085
18,marreca-ananaí - Amazonetta brasiliensis,2,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121829072
19,carcará - Caracara plancus,1,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121829072
20,joão-de-barro - Furnarius rufus,1,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121829072
21,tesourinha/tesourinha-do-norte - Tyrannus savana,2,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121829072
22,beija-flor-de-fronte-violeta - Thalurania glaucopis,1,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121824051
23,juruviara - Vireo chivi,,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121824051
24,pomba-asa-branca - Patagioenas picazuro,2,Sítio do Engenho,BR-SP,03 Nov 2022,L21434561,S121809837
