Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,8304,species,Short-tailed Hawk,Buteo brachyurus,,"Vila Indiana, São Paulo - SP, Brazil",BR-SP,18 Jan 2024,L29265190,S161550199,,1
2,16126,species,Common Tody-Flycatcher,Todirostrum cinereum,2,Mandacaru Suítes - Itamambuca,BR-SP,05 Jan 2024,L28649348,S158149464,,1
3,13554,species,Rufous-margined Antwren,Herpsilochmus rufimarginatus,2,Mandacaru Suítes - Itamambuca,BR-SP,05 Jan 2024,L28649348,S158149464,,1
4,34400,species,Golden-chevroned Tanager,Thraupis ornata,,"Eco, Santa Teresa - ES, 29650-000, Brazil",BR-ES,28 Dec 2023,L29265191,S161550200,,1
5,5103,species,Versicolored Emerald,Chrysuronia versicolor,,"Eco, Santa Teresa - ES, 29650-000, Brazil",BR-ES,28 Dec 2023,L29265191,S161550202,,1
6,4417,species,Frilled Coquette,Lophornis magnificus,,"Eco, Santa Teresa - ES, 29650-000, Brazil",BR-ES,28 Dec 2023,L29265191,S161550203,,1
7,33961,species,Yellow-green Grosbeak,Caryothraustes canadensis,,"Eco, Santa Teresa - ES, 29650-000, Brazil",BR-ES,28 Dec 2023,L29265191,S161550204,,1
8,14749,species,Wing-banded Hornero,Furnarius figulus,,"Manguinhos, Serra, Serra - State of Espírito Santo, Brazil",BR-ES,20 Dec 2023,L29265193,S161550205,,1
9,4870,species,Glittering-bellied Emerald,Chlorostilbon lucidus,,"Vila Indiana, São Paulo - SP, Brazil",BR-SP,12 Dec 2023,L29265190,S161550206,,1
10,3553,species,Common Pauraque,Nyctidromus albicollis,1,Sítio do Engenho,BR-SP,05 Sep 2023,L21434561,S149095633,,1
11,16813,species,Gray Monjita,Nengetus cinereus,,"Eixo Monumental - Lado Oeste - Praça do Cruzeiro, Brasília - DF, 70070-300",BR-DF,31 Aug 2023,L29265194,S161550207,,1
12,17133,species,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,,"Asa Norte, Brasília - DF, Brasil",BR-DF,30 Aug 2023,L29265195,S161550208,,1
13,12587,species,Yellow-chevroned Parakeet,Brotogeris chiriri,2,Jardins do ICC (UnB),BR-DF,29 Aug 2023,L26813360,S148364131,,1
14,7568,species,Buff-necked Ibis,Theristicus caudatus,1,CEM Asa Norte,BR-DF,29 Aug 2023,L26813179,S148363264,,1
15,12922,species,Red-shouldered Macaw,Diopsittaca nobilis,,"Ipiranga, São Paulo - SP, 04268, Brasil",BR-SP,26 Aug 2023,L29265196,S161550209,,1
16,12696,species,Turquoise-fronted Parrot,Amazona aestiva,1,São Paulo--Praça Pôr do Sol,BR-SP,25 Aug 2023,L10971805,S148071395,,1
17,5385,species,Blackish Rail,Pardirallus nigricans,1,Sítio do Engenho,BR-SP,11 Aug 2023,L21434561,S146971207,,1
18,75,species,Brown Tinamou,Crypturellus obsoletus,1,Sítio do Engenho,BR-SP,11 Aug 2023,L21434561,S146971207,,1
19,11704,species,Laughing Falcon,Herpetotheres cachinnans,1,Sítio do Engenho,BR-SP,09 Aug 2023,L21434561,S146832995,,1
20,4709,species,Stripe-breasted Starthroat,Heliomaster squamosus,,"Araçariguama, SP, 18147-000, Brasil",BR-SP,09 Aug 2023,L29265197,S161550210,,1
21,3611,species,Rufous Nightjar,Antrostomus rufus,1,Sítio do Engenho,BR-SP,25 Jul 2023,L21434561,S145613862,,1
22,6479,species,Ring-billed Gull,Larus delawarensis,,"Niagara Falls, ON, Canada",CA-ON,12 Jul 2023,L29265198,S161550211,,1
23,433,species,Wood Duck,Aix sponsa,,"1873 Bloor St W, Toronto, ON M6R 2Z3, Canada",CA-ON,09 Jul 2023,L29265199,S161550212,,1
24,6657,species,Caspian Tern,Hydroprogne caspia,,"1873 Bloor St W, Toronto, ON M6R 2Z3, Canada",CA-ON,09 Jul 2023,L29265199,S161550213,,1
25,11665,species,Northern Flicker,Colaptes auratus,,"1873 Bloor St W, Toronto, ON M6R 2Z3, Canada",CA-ON,09 Jul 2023,L29265199,S161550214,,1
26,32095,species,American Goldfinch,Spinus tristis,1,Toronto--High Park,CA-ON,09 Jul 2023,L11,S144042766,,1
27,21676,species,Black-capped Chickadee,Poecile atricapillus,2,Toronto--High Park,CA-ON,09 Jul 2023,L11,S144042766,,1
28,11175,species,Downy Woodpecker,Dryobates pubescens,1,Toronto--High Park,CA-ON,09 Jul 2023,L11,S144042766,,1
29,10022,species,Belted Kingfisher,Megaceryle alcyon,2,Toronto--High Park,CA-ON,09 Jul 2023,L11,S144042766,,1
30,33327,species,Common Grackle,Quiscalus quiscula,1,Toronto--Spadina Quay wetlands,CA-ON,09 Jul 2023,L7424560,S144008681,,1
